city,gu,dong,park_name,park_type,park_area,park_exercise_facility,park_entertainment_facility,park_benefit_facility,park_cultural_facility,park_facility_other
서울특별시,서초구,반포동,반포,근린공원,26092.2,0,0,0,0,0
서울특별시,서초구,양재동,방아다리1,근린공원,2870.8,0,0,0,0,0
서울특별시,서초구,양재동,방아다리2,근린공원,2934.3,0,0,0,0,0
서울특별시,서초구,양재동,양재천,근린공원,19258.0,0,0,0,0,0
서울특별시,서초구,양재동,마방,근린공원,6546.6,0,0,0,0,0
서울특별시,서초구,양재동,양재,근린공원,32523.4,0,0,0,0,0
서울특별시,서초구,서초동,용허리,근린공원,4641.9,0,0,0,0,0
서울특별시,서초구,서초동,명달,근린공원,5466.4,0,0,0,0,0
서울특별시,서초구,잠원동,사평리,근린공원,1913.7,0,0,0,0,0
서울특별시,서초구,잠원동,잠원,근린공원,2373.5,0,0,0,0,0
서울특별시,서초구,잠원동,신동,근린공원,6648.4,0,0,0,0,0
서울특별시,서초구,양재동,고인돌,근린공원,4579.0,0,0,0,0,0
서울특별시,서초구,양재동,바우뫼,근린공원,16386.1,0,0,0,0,0
서울특별시,서초구,서초동,서리풀,근린공원,548520.8,0,0,0,0,0
서울특별시,서초구,반포동,서래골,근린공원,4690.8,0,0,0,0,0
서울특별시,서초구,잠원동,명주,근린공원,4952.6,0,0,0,0,0
서울특별시,서초구,반포동,반딧불,근린공원,13606.8,0,0,0,0,0
서울특별시,서초구,반포동,원촌,근린공원,9941.7,0,0,0,0,0
서울특별시,서초구,우면동,태봉,근린공원,26555.7,0,0,0,0,0
서울특별시,서초구,우면동,섬들,근린공원,15590.3,0,0,0,0,0
서울특별시,서초구,우면동,망루,근린공원,56497.1,0,0,0,0,0
서울특별시,서초구,우면동,송동,근린공원,27472.8,0,0,0,0,0
서울특별시,서초구,양재동,말죽거리,근린공원,350200.0,0,0,0,0,0
서울특별시,서초구,방배동,방배,근린공원,228107.0,0,0,0,0,0
서울특별시,서초구,방배동,도구머리,근린공원,69578.4,0,0,0,0,0
서울특별시,서초구,방배동,방배동,근린공원,7003.0,0,0,0,0,0
서울특별시,서초구,방배동,뒷벌,어린이공원,5794.8,0,0,0,0,0
서울특별시,서초구,방배동,청두,어린이공원,1657.9,0,0,0,0,0
서울특별시,서초구,방배동,가꿀,어린이공원,993.5,0,0,0,0,0
서울특별시,서초구,방배동,까치,어린이공원,1015.3,0,0,0,0,0
서울특별시,서초구,방배동,새말,어린이공원,984.8,0,0,0,0,0
서울특별시,서초구,방배동,너른골,어린이공원,1216.0,0,0,0,0,0
서울특별시,서초구,방배동,정문,어린이공원,993.1,0,0,0,0,0
서울특별시,서초구,방배동,안산,어린이공원,1615.6,0,0,0,0,0
서울특별시,서초구,방배동,방현,어린이공원,1781.5,0,0,0,0,0
서울특별시,서초구,방배동,동덕,어린이공원,936.0,0,0,0,0,0
서울특별시,서초구,서초동,사도감,어린이공원,946.7,0,0,0,0,0
서울특별시,서초구,서초동,예술,어린이공원,1006.3,0,0,0,0,0
서울특별시,서초구,서초동,신중,어린이공원,974.9,0,0,0,0,0
서울특별시,서초구,서초동,장안,어린이공원,969.0,0,0,0,0,0
서울특별시,서초구,서초동,마산말,어린이공원,984.9,0,0,0,0,0
서울특별시,서초구,서초동,분토골,어린이공원,999.1,0,0,0,0,0
서울특별시,서초구,서초동,상명달,어린이공원,991.5,0,0,0,0,0
서울특별시,서초구,서초동,궁현,어린이공원,985.5,0,0,0,0,0
서울특별시,서초구,서초동,하명달,어린이공원,991.9,0,0,0,0,0
서울특별시,서초구,서초동,당골,어린이공원,1616.2,0,0,0,0,0
서울특별시,서초구,반포동,고무래,어린이공원,5506.9,0,0,0,0,0
서울특별시,서초구,잠원동,싸리재,어린이공원,991.9,0,0,0,0,0
서울특별시,서초구,잠원동,주흥,어린이공원,959.2,0,0,0,0,0
서울특별시,서초구,반포동,언구비,어린이공원,1031.9,0,0,0,0,0
서울특별시,서초구,반포동,청룡,어린이공원,945.1,0,0,0,0,0
서울특별시,서초구,반포동,서래,어린이공원,997.1,0,0,0,0,0
서울특별시,서초구,양재동,종열,어린이공원,847.8,0,0,0,0,0
서울특별시,서초구,우면동,암산,어린이공원,1506.0,0,0,0,0,0
서울특별시,서초구,우면동,잿말,어린이공원,2167.0,0,0,0,0,0
서울특별시,서초구,우면동,식유촌,어린이공원,1009.0,0,0,0,0,0
서울특별시,서초구,우면동,송동,어린이공원,1042.0,0,0,0,0,0
서울특별시,서초구,신원동,세원,어린이공원,1369.0,0,0,0,0,0
서울특별시,서초구,신원동,본마을,어린이공원,1234.0,0,0,0,0,0
서울특별시,서초구,신원동,청계숲,어린이공원,1470.0,0,0,0,0,0
서울특별시,서초구,신원동,새쟁이,어린이공원,1586.0,0,0,0,0,0
서울특별시,서초구,내곡동,안골,어린이공원,1192.0,0,0,0,0,0
서울특별시,서초구,내곡동,홍씨마을,어린이공원,1461.0,0,0,0,0,0
서울특별시,서초구,내곡동,아래샘,어린이공원,1059.0,0,0,0,0,0
서울특별시,서초구,내곡동,윗샘,어린이공원,1084.0,0,0,0,0,0
서울특별시,서초구,방배동,남태령,어린이공원,1328.0,0,0,0,0,0
서울특별시,서초구,양재동,양재,어린이공원,990.4,0,0,0,0,0
서울특별시,서초구,양재동,동산,어린이공원,1890.4,0,0,0,0,0
서울특별시,서초구,양재동,잔디,어린이공원,1664.3,0,0,0,0,0
서울특별시,서초구,양재동,계리,어린이공원,1057.9,0,0,0,0,0
서울특별시,서초구,반포동,나리,어린이공원,4155.0,0,0,0,0,0
서울특별시,서초구,반포동,만남,어린이공원,2965.0,0,0,0,0,0
서울특별시,서초구,반포동,푸른,어린이공원,1851.0,0,0,0,0,0
서울특별시,서초구,반포동,초롱,어린이공원,2575.0,0,0,0,0,0
서울특별시,서초구,반포동,한수,어린이공원,4400.0,0,0,0,0,0
서울특별시,서초구,반포동,파랑새,어린이공원,4188.3,0,0,0,0,0
서울특별시,서초구,잠원동,반원,어린이공원,6020.9,0,0,0,0,0
서울특별시,서초구,반포동,장미,어린이공원,4083.0,0,0,0,0,0
서울특별시,서초구,양재동,비석,어린이공원,1500.6,0,0,0,0,0
서울특별시,서초구,양재동,구룡,어린이공원,1651.3,0,0,0,0,0
서울특별시,서초구,서초동,교대,어린이공원,993.2,0,0,0,0,0
서울특별시,서초구,잠원동,코아,어린이공원,1717.0,0,0,0,0,0
서울특별시,서초구,반포동,미도,어린이공원,988.3,0,0,0,0,0
서울특별시,서초구,양재동,개뜰,어린이공원,1530.4,0,0,0,0,0
서울특별시,서초구,양재동,버들,어린이공원,1487.4,0,0,0,0,0
서울특별시,서초구,양재동,샛별,어린이공원,1500.1,0,0,0,0,0
서울특별시,서초구,양재동,두둑재,어린이공원,1703.8,0,0,0,0,0
서울특별시,서초구,양재동,횃불,어린이공원,1496.9,0,0,0,0,0
서울특별시,서초구,양재동,용말,어린이공원,1994.5,0,0,0,0,0
서울특별시,서초구,잠원동,새터,어린이공원,1100.0,0,0,0,0,0
서울특별시,서초구,잠원동,늘푸른,어린이공원,1600.0,0,0,0,0,0
서울특별시,서초구,잠원동,아름,어린이공원,1100.0,0,0,0,0,0
서울특별시,서초구,우면동,바우뫼,어린이공원,2023.7,0,0,0,0,0
서울특별시,서초구,우면동,동문,어린이공원,1515.2,0,0,0,0,0
서울특별시,서초구,우면동,효자,어린이공원,2481.0,0,0,0,0,0
서울특별시,서초구,내곡동,능안,어린이공원,1156.0,0,0,0,0,0
서울특별시,서초구,방배동,효령,어린이공원,1432.8,0,0,0,0,0
서울특별시,서초구,서초동,새싹,어린이공원,840.0,0,0,0,0,0
서울특별시,서초구,우면동,섶다리,어린이공원,1729.5,0,0,0,0,0
서울특별시,서초구,우면동,샛말,어린이공원,1644.7,0,0,0,0,0
서울특별시,서초구,방배동,햇님,어린이공원,2119.1,0,0,0,0,0
서울특별시,서초구,방배동,소라,어린이공원,1782.4,0,0,0,0,0
서울특별시,서초구,반포동,오솔길,어린이공원,2802.8,0,0,0,0,0
서울특별시,서초구,우면동,큰마을,어린이공원,1964.4,0,0,0,0,0
서울특별시,서초구,우면동,솔말,어린이공원,2720.0,0,0,0,0,0
서울특별시,서초구,방배동,달님,어린이공원,259.5,0,0,0,0,0
서울특별시,서초구,우면동,우면,수변공원,21609.1,0,0,0,0,0
서울특별시,양천구,신정동,신정3동소공원,소공원,3353.0,1,0,0,0,0
서울특별시,관악구,신원동,호박골,어린이공원,417.0,0,2,0,0,0
서울특별시,관악구,남현동,군아파트,어린이공원,926.0,0,2,0,0,0
서울특별시,관악구,남현동,상록,어린이공원,1557.0,0,3,0,0,0
서울특별시,관악구,남현동,남현,어린이공원,554.0,0,0,0,0,0
서울특별시,관악구,남현동,예촌,어린이공원,1509.0,0,3,1,0,0
서울특별시,관악구,신사동,남부,어린이공원,990.0,0,4,0,0,0
서울특별시,관악구,신림동,새들,어린이공원,979.0,0,4,0,0,0
서울특별시,관악구,신림동,색동,어린이공원,952.0,0,3,0,0,0
서울특별시,관악구,청룡동,송학,어린이공원,1013.0,0,1,0,0,0
서울특별시,관악구,청룡동,비안,어린이공원,1661.0,0,4,0,0,0
서울특별시,관악구,신사동,새빛,어린이공원,875.0,0,2,0,0,0
서울특별시,관악구,청룡동,용담,어린이공원,646.0,0,4,0,0,0
서울특별시,관악구,청룡동,일선,어린이공원,1244.0,0,3,0,0,0
서울특별시,관악구,청룡동,청룡,어린이공원,853.0,0,3,0,0,0
서울특별시,관악구,삼성동,약수암,어린이공원,1680.0,0,2,0,0,0
서울특별시,관악구,청룡동,충효,어린이공원,3188.0,0,3,0,0,0
서울특별시,관악구,삼성동,해바라기,어린이공원,416.0,0,1,0,0,0
서울특별시,관악구,청룡동,영락,어린이공원,206.0,0,2,0,0,0
서울특별시,관악구,삼성동,양산,어린이공원,297.0,0,1,0,0,0
서울특별시,관악구,삼성동,합실,어린이공원,1297.0,0,3,0,0,0
서울특별시,관악구,남현동,남태령제2,소공원,1310.0,0,0,0,0,0
서울특별시,동작구,대방동,제비,어린이공원,1813.9,0,0,0,0,0
서울특별시,동작구,상도동,상도,근린공원,359342.8,0,0,0,0,0
서울특별시,동작구,노량진동,노량진,근린공원,416031.0,0,0,0,0,0
서울특별시,동작구,본동,용봉정,근린공원,80803.0,0,0,0,0,0
서울특별시,동작구,사당동,현충,근린공원,1106365.7,0,0,0,0,0
서울특별시,동작구,노량진동,사육신,역사공원,47832.0,0,0,0,0,0
서울특별시,동작구,상도동,꿈동산,어린이공원,613.8,0,0,0,0,0
서울특별시,동작구,상도1동,해님,어린이공원,876.0,0,0,0,0,0
서울특별시,동작구,사당동,삼일,근린공원,36660.0,0,0,0,0,0
